Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
J P Morgan,105383,CitiBank New York Branch,CAD,Receive,55217601,2020-0909-19191919,Fully paid,2526074,Transaction complete
BNY Mellon,106524,CitiBank HongKong,USD,Deliver,37248582,2121-1010-19191919,Fully paid,9227782,Payment is in progress
BNY Mellon,100809,CitiBank New York Branch,GBP,Deliver,65602895,0707-0909-19191919,Fully paid,766707,Payment is in progress
BNY Mellon,102425,CitiBank New York Branch,CAD,Receive,69827776,2020-0303-20202020,Processing,5703958,Payment is in progress
J P Morgan,100326,CitiBank New York Branch,CAD,Receive,92817755,2626-0707-19191919,Rejected,3519530,Transaction complete
HSBC,105747,CitiBank New York Branch,GBP,Deliver,23620903,2424-0707-19191919,Fully paid,7829909,Waiting for pending amount
DEUTSCHE BANK,105507,CitiBank New York Branch,CAD,Receive,45530658,1717-1212-19191919,Partially Paid,7406665,Transaction complete
HSBC,106975,CitiBank Singapore,"EUR,",Deliver,5544222,1010-0303-20202020,Processing,7332822,Transaction complete
DEUTSCHE BANK,102846,CitiBank New York Branch,GBP,Receive,87556103,3030-1111-19191919,Partially Paid,4128170,Waiting for pending amount
BNY Mellon,106946,CitiBank HongKong,"EUR,",Deliver,14166812,1616-1111-19191919,Processing,9928786,Waiting for pending amount
J P Morgan,107077,CitiBank HongKong,CAD,Receive,61981173,2121-0101-20202020,Rejected,2899340,Payment Failed
HSBC,105034,CitiBank HongKong,GBP,Deliver,46745650,0404-0505-19191919,Rejected,8346664,Payment is in progress
DEUTSCHE BANK,103128,CitiBank HongKong,CAD,Receive,92029091,1111-1111-19191919,Fully paid,7327106,Waiting for pending amount
J P Morgan,102572,CitiBank London,CAD,Deliver,58829792,1313-0707-19191919,Partially Paid,4428447,Transaction complete
DEUTSCHE BANK,107146,CitiBank Singapore,USD,Receive,58294560,2323-0505-20202020,Rejected,2583980,Waiting for pending amount
J P Morgan,104451,CitiBank New York Branch,USD,Receive,10168642,1111-1111-19191919,Processing,5319992,Payment Failed
HSBC,105045,CitiBank New York Branch,"EUR,",Deliver,84589796,1717-1111-19191919,Rejected,4385420,Payment is in progress
J P Morgan,100785,CitiBank London,"EUR,",Receive,8837478,0202-1212-19191919,Partially Paid,1717637,Payment Failed
HSBC,103494,CitiBank New York Branch,"EUR,",Receive,38668779,0404-0808-19191919,Processing,8441318,Payment Failed
DEUTSCHE BANK,108605,CitiBank Singapore,CAD,Receive,85528064,1313-1111-19191919,Rejected,2358844,Waiting for pending amount
J P Morgan,109665,CitiBank HongKong,"EUR,",Deliver,87052706,2727-0808-19191919,Partially Paid,1966479,Payment is in progress
DEUTSCHE BANK,100363,CitiBank HongKong,"EUR,",Deliver,76460560,2626-0202-20202020,Partially Paid,8062935,Payment Failed
HSBC,102358,CitiBank New York Branch,USD,Receive,43205265,1818-0101-20202020,Processing,6586166,Payment is in progress
HSBC,108317,CitiBank London,GBP,Deliver,75946598,1212-1010-19191919,Rejected,3185782,Payment Failed
HSBC,100009,CitiBank Singapore,"EUR,",Receive,41906483,1717-1111-19191919,Partially Paid,9736825,Payment Failed
BNY Mellon,107110,CitiBank London,GBP,Receive,33521014,2828-0404-20202020,Processing,2783253,Payment Failed
BNY Mellon,104279,CitiBank Singapore,GBP,Receive,44800636,2525-0808-19191919,Partially Paid,6612134,Payment is in progress
HSBC,104740,CitiBank Singapore,GBP,Receive,45688852,0606-0606-19191919,Processing,1780610,Waiting for pending amount
BNY Mellon,103111,CitiBank New York Branch,GBP,Deliver,46619331,0101-1111-19191919,Rejected,7111404,Transaction complete
HSBC,108248,CitiBank London,"EUR,",Receive,59697156,0101-0404-20202020,Fully paid,4483895,Transaction complete
DEUTSCHE BANK,107393,CitiBank New York Branch,USD,Receive,74254857,1212-1212-19191919,Processing,6773762,Payment Failed
HSBC,108449,CitiBank HongKong,"EUR,",Receive,35013378,2323-1010-19191919,Partially Paid,7640217,Payment is in progress
DEUTSCHE BANK,100058,CitiBank New York Branch,USD,Deliver,80960972,1717-0505-19191919,Processing,2672032,Waiting for pending amount
DEUTSCHE BANK,107475,CitiBank New York Branch,"EUR,",Deliver,271333,2222-1010-19191919,Partially Paid,9055984,Waiting for pending amount
BNY Mellon,106483,CitiBank Singapore,GBP,Deliver,51562095,1111-0707-19191919,Partially Paid,3229437,Payment Failed
BNY Mellon,101954,CitiBank Singapore,CAD,Receive,76812598,1919-0303-20202020,Rejected,6924172,Payment is in progress
DEUTSCHE BANK,105057,CitiBank HongKong,USD,Deliver,27170076,3131-0505-19191919,Fully paid,9935818,Payment is in progress
HSBC,109472,CitiBank New York Branch,USD,Deliver,40427857,3030-0303-19191919,Fully paid,9356214,Waiting for pending amount
J P Morgan,108098,CitiBank Singapore,GBP,Deliver,15497873,2323-1212-19191919,Processing,2928406,Waiting for pending amount
HSBC,100344,CitiBank HongKong,"EUR,",Receive,76412100,2727-0101-20202020,Processing,3108172,Payment Failed
HSBC,100764,CitiBank Singapore,USD,Receive,95142439,1515-1010-19191919,Rejected,6773228,Payment Failed
J P Morgan,106296,CitiBank Singapore,GBP,Deliver,30506494,1515-0505-19191919,Rejected,4369621,Payment Failed
DEUTSCHE BANK,107779,CitiBank New York Branch,GBP,Deliver,94438046,2323-0303-19191919,Fully paid,2009643,Payment Failed
BNY Mellon,109780,CitiBank HongKong,"EUR,",Receive,32051866,1717-0404-20202020,Partially Paid,5316452,Transaction complete
DEUTSCHE BANK,101275,CitiBank HongKong,"EUR,",Receive,63351156,3030-0808-19191919,Rejected,6538115,Payment Failed
J P Morgan,107410,CitiBank HongKong,"EUR,",Receive,70833563,2929-0707-19191919,Fully paid,6160696,Payment Failed
HSBC,102150,CitiBank New York Branch,"EUR,",Deliver,62992093,2121-0505-20202020,Partially Paid,8983822,Waiting for pending amount
BNY Mellon,108808,CitiBank Singapore,CAD,Receive,88864544,2727-0909-19191919,Fully paid,2700820,Payment Failed
DEUTSCHE BANK,105492,CitiBank London,CAD,Deliver,40364099,1111-0101-20202020,Partially Paid,4890092,Transaction complete
DEUTSCHE BANK,102632,CitiBank HongKong,USD,Deliver,40990005,0505-0707-19191919,Partially Paid,6501701,Payment Failed
J P Morgan,103929,CitiBank Singapore,GBP,Receive,62076369,0808-1212-19191919,Processing,6062088,Payment is in progress
BNY Mellon,100120,CitiBank Singapore,CAD,Receive,60067225,0909-0606-20202020,Rejected,499538,Payment is in progress
DEUTSCHE BANK,101624,CitiBank New York Branch,GBP,Receive,17299014,0404-1111-19191919,Partially Paid,3354791,Payment Failed
J P Morgan,100354,CitiBank Singapore,"EUR,",Receive,49336435,1414-0505-20202020,Fully paid,7405684,Payment is in progress
J P Morgan,103402,CitiBank London,GBP,Deliver,44379601,0707-1010-19191919,Processing,4515001,Payment Failed
DEUTSCHE BANK,102989,CitiBank Singapore,USD,Receive,77215561,1414-0606-19191919,Rejected,2243992,Payment is in progress
