Class,Text_Data
Complete,sort out the transaction with -PRON- d hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
Pending,pende payment for transaction have -PRON- d hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Complete,payment do and transaction settle greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
General,want to know more about be a premium customer sincere greeting i recently come across an offer say i would have high interest rate if i be willing to upgrade -PRON- account to a premium one i want to base -PRON- decision on -PRON- pro as well as con so perhaps -PRON- could throw some light on -PRON- that woud be very kind of -PRON-
General,want to block account hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Request,implore update on transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Failed,urgent transaction cease this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
General,how to change pin no of atm card please reply this be very urgent i have to change the pin no for atm card associate with account no since -PRON- be steal from -PRON- last night or suggest some other way to keep -PRON- money secure
Request,seek update on the status of transaction i need detail of urgently please provide the same on priority basis
Complete,conclude the transaction greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Pending,payment outstanding for transaction this be to regretfully inform -PRON- that i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Complete,fulfil transaction have -PRON- d i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of eur
Complete,fulfil transaction have -PRON- d to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Pending,incomplete transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
General,mobile banking step i would like to know the instruction to be follow to install and setup mobile banking please reply to -PRON- with the same thank in advance
Request,send -PRON- transactional detail for kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Request,ask for the detail for transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Processing,payment receive for transaction and now process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Pending,payment outstanding for transaction i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Request,request to send detail of transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Failed,urgent transaction cease this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Processing,payment receive for transaction and now process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Failed,failure of transaction this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Failed,transaction have -PRON- d have stop help i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Complete,conclude the transaction glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Processing,handle the transaction after payment acknowledge the received payment for transaction -PRON- be finally in process kind regard
Processing,payment receive for transaction and now process hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
General,lose atm card hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Request,urgently require update on transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Processing,transaction be now be process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Complete,sort out the transaction with -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Complete,receive full payment for transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of usd
Request,seek update on the status of transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Complete,transaction be complete glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Pending,payment be pende for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Processing,require money acquire transaction be in process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Complete,conclude the transaction to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Pending,partially pay the require amount for transaction i regret to inform -PRON- the i could only pay the partial amount of inr i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
General,create a new bank account hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
Pending,the pende amount for transaction will reach -PRON- soon there have be only a partial payment of amount gbp assure -PRON- that the rest will be pay later warm regard
Failed,failure of transaction i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Complete,complete transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of gbp
General,why can not i withdraw money with -PRON- atm card i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Failed,urgent transaction cease hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Pending,partially pay the require amount for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Pending,partially pay the require amount for transaction hello greeting for the day status of transaction usd for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Request,solicit information for -PRON- d hey i be hope if -PRON- would be kind enough to tell -PRON- the detail of account no thank
Request,impetrate detail for -PRON- d please provide a status update on at the early
Complete,complete transaction no greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,impetrate detail for -PRON- d i need detail of urgently please provide the same on priority basis
Processing,deal with the transaction thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Request,impetrate detail for -PRON- d i need detail of urgently please provide the same on priority basis
Failed,abrupt closure of transaction with -PRON- d this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Processing,handle the transaction after payment hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Request,seek update on the status of transaction kindly provide a status update on at the early
General,add another contact no to -PRON- bank account kindly add the contact no to -PRON- bank account and set -PRON- as -PRON- default no to receive all alert
Request,solicit information for -PRON- d hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Request,request to send detail of transaction -PRON- would be very kind of -PRON- to provide a status update on at the early hoping for a reply soon
Failed,failure of transaction greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,finalized transaction of -PRON- d glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Pending,transaction no be unresolved hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Processing,payment receive for transaction and now process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Failed,transaction have fail i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
General,how to create a bank account with citi i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
General,add one more contact no to account add to -PRON- account thank
Failed,transaction have fail this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Pending,pende payment for transaction have -PRON- d hello greeting for the day i see that transaction gbp for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Complete,payment do and transaction settle hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
General,change address for account no hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Failed,abrupt closure of transaction with -PRON- d i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Request,seek update on the status of transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Request,implore update on transaction please provide a status update on at the early
Processing,handle the transaction after payment acknowledge the received payment for transaction -PRON- have finally be put to process kind regard
Request,ask for the detail for transaction urgently require detail of acc reply as soon as possible
Pending,payment outstanding for transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Pending,payment outstanding for transaction hello greeting for the day status of transaction usd for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Request,implore update on transaction can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Request,ask for the detail for transaction a detail update on the transaction would be highly appreciate thank and regard
Pending,partially pay the require amount for transaction there have be only a partial payment of amount usd assure -PRON- that the rest will be pay later warm regard
Failed,urgent transaction cease i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Complete,complete transaction no hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Complete,complete transaction no glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
General,send step to activate mobile banking i would like to know the instruction to be follow to install and setup mobile banking please reply to -PRON- with the same thank in advance
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Pending,pende payment for transaction have -PRON- d the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Request,request to send detail of transaction please provide a status update on at the early
Complete,payment do and transaction settle hey i be write in reference to the transaction i be grant the aforementioned amount within the deadline sincere gratitude for such a quick response kind regard
General,add one more contact no to account i need a new cheque book of leave kindly send the same to -PRON- current address which be present in the detail of -PRON- account
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Failed,transaction have -PRON- d have stop help greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Pending,pende payment for transaction have -PRON- d the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Complete,finally the transaction of -PRON- d be complete glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service warm regard
Request,implore update on transaction please provide a status update on at the early
Processing,process transaction have -PRON- d receive payment for transaction yesterday -PRON- be finally in process kind regard
General,something wrong with -PRON- account this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Complete,conclude the transaction greeting i want to let -PRON- know that i be acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Complete,payment do and transaction settle to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
Processing,handle the transaction after payment hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
General,upgrade to an account with more benefit send instruction to setup a premium account i currently have a normal account thank in advance
Pending,the pende amount for transaction will reach -PRON- soon since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Processing,accepted payment transaction currently process acknowledge the received payment for transaction -PRON- be finally in process kind regard
Pending,transaction no be unresolved since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Pending,partially pay the require amount for transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
General,pin number change hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Request,solicit information for -PRON- d can -PRON- please tell -PRON- the amount transfer through transaction -PRON- d thank
Processing,require money acquire transaction be in process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Pending,payment be pende for transaction hello greeting for the day status of transaction inr for account be pende i would be grateful if -PRON- could tell -PRON- the cause thank a lot
Complete,fulfil transaction have -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
General,open account i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
Complete,conclude the transaction greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
General,want to block account hey can -PRON- please block -PRON- account i no long want to avail -PRON- service
Request,solicit information for -PRON- d hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Complete,receive full payment for transaction no hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,urgent transaction cease i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Request,request to send detail of transaction i need detail of urgently please provide the same on priority basis
Complete,payment do and transaction settle greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Complete,receive full payment for transaction no i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
General,add one more contact no to account i have hear a lot about -PRON- bank and would like to open an account with citibank for that i would like to know all the document that be require kindly reply with the same and also the further step to be take eagerly wait for -PRON- reply
General,can not take out money this be to inform -PRON- that i be not able to withdraw money from -PRON- account please help
Pending,payment be pende for transaction there have be only a partial payment of amount gbp assure -PRON- that the rest will be pay later warm regard
Complete,complete transaction no greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Request,implore update on transaction urgently require detail of acc reply asap
Request,urgently require update on transaction i need detail of urgently please provide the same on priority basis
Pending,fragmentary payment for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Request,solicit information for -PRON- d i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Failed,why have -PRON- transaction stop i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
General,add one more contact no to account kindly add the contact no to -PRON- bank account
Processing,deal with the transaction this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Failed,why have -PRON- transaction stop this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Request,ask for the detail for transaction hey i would be really grateful if -PRON- could tell -PRON- the detail of account no thank
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
General,how to change pin no of atm card hey can -PRON- please send -PRON- the detailed step that i ought to follow to create a new bank account
Failed,urgent transaction cease greeting for the day i check -PRON- inbox and find -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Request,request to send detail of transaction i want to have a detailed view of -PRON- account would appreciate -PRON- help for the same
General,send step to activate online bank kindly add the contact no to -PRON- bank account
Pending,payment be pende for transaction -PRON- transaction be still pende why be this so i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Failed,transaction have -PRON- d have stop help hey i see -PRON- transaction with -PRON- d have fail i be pretty sure i do everything right i strongly believe this be a technical error please look into this and confirm
Complete,fulfil transaction have -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,transaction have -PRON- d have stop help this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Failed,why have -PRON- transaction stop greeting for the day i read -PRON- email state the failure of -PRON- transaction please help -PRON- understand why have fail need fund urgently patiently wait for -PRON- reply thank a lot
Complete,complete transaction no greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Failed,why have -PRON- transaction stop i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Failed,failure of transaction this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
Request,ask for the detail for transaction -PRON- would be nice of -PRON- to tell -PRON- the amount transfer through transaction -PRON- d thank
Request,ask for the detail for transaction i need detail of urgently please provide the same before the come friday
Failed,transaction stall and payment not receive i have be -PRON- regular client and have follow the procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
Processing,receive amount now be process sincere greeting i be glad to tell -PRON- that i have finally be grant the pre approve amount through transaction -PRON- be now be process i be grateful for -PRON- support warm regard
Processing,process transaction have -PRON- d hello this be to inform -PRON- that i have receive the amount -PRON- transfer to -PRON- account and now -PRON- be currently in process
Pending,incomplete transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Processing,handle the transaction after payment so happy to acknowledge the received payment for transaction -PRON- be finally in process kind regard
Complete,payment do and transaction settle i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of inr
Complete,transaction be complete to whom -PRON- may concern i have successfully receive payment for the transaction i be grateful for -PRON- cooperation thank -PRON- so much and regard
General,add one more contact no to account kindly add the contact no to -PRON- bank account
Complete,fulfil transaction have -PRON- d greeting i want to let -PRON- know that i have acknowledge the payment for transaction in response to -PRON- email which confirm the finalize status of -PRON- transaction thank and regard
Pending,incomplete transaction the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Request,ask for the detail for transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Request,ask for the detail for transaction i need detail of urgently please provide the same on priority basis
Request,ask for the detail for transaction urgently require detail of acc reply fast please
Complete,sort out the transaction with -PRON- d hello sincere greeting for the day i would like to inform -PRON- that -PRON- transaction have complete thank -PRON- so much for -PRON- support look forward to work more with -PRON- in the future regard
Failed,transaction have fail this be to notify -PRON- that -PRON- transaction have fail please reply to -PRON- with the cause as soon as possible
Request,implore update on transaction please provide a status update on at the early
Request,ask for the detail for transaction i request -PRON- to kindly send the status of -PRON- transaction with -PRON- d thank and regard
Complete,conclude the transaction glad to let -PRON- know that i get the desired payment in reference to transaction i be very happy with -PRON- service and will definitely recommend -PRON- company to -PRON- friend and acquaintance warm regard
Processing,transaction be now be process this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Pending,partial payment for transaction since -PRON- transaction be still pende i want to know if there be a problem with the paperwork from -PRON- side please let -PRON- know at the early thank and regard
Request,solicit information for -PRON- d kindly reply to -PRON- at the early with the last transaction make with the account no thank in advance
Pending,the pende amount for transaction will reach -PRON- soon i regret to inform -PRON- the i could only pay the partial amount of gbp i will definitely pay the remain amount as soon as possible thank -PRON- for understanding regard
Processing,handle the transaction after payment this be in response to -PRON- email notify about the transfer amount i be acknowledge -PRON- and inform -PRON- that -PRON- be now in process
Pending,incomplete transaction hey sincere apology for transfer a fraction of the amount -PRON- agree on please be assure that the rest be be transfer as of now thank a lot for understanding
Processing,require money acquire transaction be in process thank -PRON- for transfer the payment to -PRON- account yesterday i appreciate the quick response i would like to inform -PRON- that be be currently in process thank and regard
Complete,payment do and transaction settle i deeply appreciate -PRON- quick service as i have receive the pre approve loan amount of gbp
Pending,pende payment for transaction have -PRON- d the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Pending,remain amount for transaction to be pay later i want to know if there be a problem with -PRON- transaction -PRON- d -PRON- s show that -PRON- s still not complete please let -PRON- know at the early thank and regard
Failed,transaction incomplete hey i see -PRON- transaction with -PRON- d have fail i think i do everything right please look into this and reply with the reason urgently thank -PRON- and regard
Pending,payment outstanding for transaction there have be only a partial payment of amount eur assure -PRON- that the rest will be pay later warm regard
Pending,pende payment for transaction have -PRON- d the transaction be take too long to complete i would request -PRON- to kindly guide -PRON- through the further step to be take in order to complete the transaction
Request,request to send detail of transaction kindly let -PRON- know the amount transfer through transaction -PRON- d thank
Failed,transaction hasn t be complete i have be -PRON- regular client for the past five year and have always follow the give procedure for create a transaction correctly still i receive an email say that the transaction have fail i would like to know the reasoning -PRON- transaction -PRON- d be regard
General,change address for account no hey i think i lose -PRON- atm card today so can -PRON- please block -PRON- account or tell -PRON- a way to change -PRON- pin no i urgently need -PRON- reply thank in advance
Failed,transaction stall and payment not receive this be in response to -PRON- email state that -PRON- transaction have -PRON- d have fail but no reason be mention can -PRON- please tell -PRON- what do i do wrong so that i can create a new one without any error wait for -PRON- reply thank -PRON- in advance
