Client Name,Account ID,Legal Entity,Currency,Payment Type,Paid Amount,Payment Date,Payment Status,Pending Amount,Comments
DEUTSCHE BANK,100966,CitiBank Singapore,GBP,Deliver,99016975,1414-0707-19191919,Partially Paid,2303124,Waiting for pending amount
J P Morgan,101782,CitiBank London,GBP,Receive,56780534,2323-1010-19191919,Rejected,6490474,Payment Failed
J P Morgan,104993,CitiBank London,CAD,Deliver,74681797,1111-0202-20202020,Rejected,6544977,Payment Failed
DEUTSCHE BANK,106115,CitiBank Singapore,USD,Receive,85715177,1010-0404-19191919,Fully paid,6974855,Waiting for pending amount
HSBC,102840,CitiBank HongKong,GBP,Receive,27728530,1717-0202-20202020,Partially Paid,4139436,Waiting for pending amount
J P Morgan,100348,CitiBank HongKong,"EUR,",Receive,49105108,1616-0606-19191919,Processing,3596526,Payment is in progress
BNY Mellon,106917,CitiBank New York Branch,"EUR,",Receive,42901860,1717-0404-20202020,Partially Paid,9257755,Payment is in progress
DEUTSCHE BANK,102598,CitiBank London,GBP,Receive,72011105,1717-0505-20202020,Partially Paid,9594683,Payment is in progress
DEUTSCHE BANK,109587,CitiBank London,"EUR,",Receive,86810944,1111-0505-20202020,Partially Paid,76063,Payment Failed
J P Morgan,106786,CitiBank Singapore,CAD,Deliver,62536577,0202-0606-20202020,Processing,3206897,Transaction complete
BNY Mellon,104162,CitiBank Singapore,CAD,Deliver,84133582,1111-0707-19191919,Partially Paid,1653869,Transaction complete
J P Morgan,103348,CitiBank London,GBP,Receive,86561775,0606-0606-19191919,Fully paid,1698723,Payment is in progress
J P Morgan,103440,CitiBank London,USD,Receive,81123277,1010-0202-20202020,Rejected,6139625,Payment is in progress
HSBC,109887,CitiBank New York Branch,USD,Receive,52255200,0202-0606-20202020,Partially Paid,9675331,Payment is in progress
J P Morgan,107485,CitiBank New York Branch,GBP,Deliver,87366980,2828-0505-20202020,Fully paid,2502545,Payment Failed
HSBC,107782,CitiBank New York Branch,GBP,Receive,70007987,1818-1212-19191919,Rejected,6495182,Payment Failed
HSBC,109956,CitiBank London,CAD,Receive,68006075,2525-1111-19191919,Processing,28707,Payment Failed
J P Morgan,109569,CitiBank New York Branch,CAD,Deliver,75526055,2525-0404-19191919,Rejected,721353,Transaction complete
DEUTSCHE BANK,109538,CitiBank New York Branch,GBP,Deliver,58635288,1212-0202-20202020,Rejected,6929598,Payment Failed
HSBC,104541,CitiBank New York Branch,GBP,Receive,62388349,2222-0202-20202020,Processing,2171677,Transaction complete
HSBC,102450,CitiBank Singapore,GBP,Receive,10795062,0202-1010-19191919,Rejected,5110566,Waiting for pending amount
DEUTSCHE BANK,101889,CitiBank HongKong,CAD,Receive,5995993,0505-0505-19191919,Rejected,6121019,Payment Failed
J P Morgan,102799,CitiBank HongKong,CAD,Receive,97829138,0707-0202-20202020,Processing,7081018,Transaction complete
DEUTSCHE BANK,103032,CitiBank HongKong,CAD,Receive,79505043,1111-0404-19191919,Processing,543206,Waiting for pending amount
J P Morgan,102007,CitiBank HongKong,GBP,Deliver,37701100,2626-1010-19191919,Fully paid,4524238,Payment Failed
BNY Mellon,100154,CitiBank HongKong,GBP,Receive,30002647,0202-1010-19191919,Partially Paid,6659525,Waiting for pending amount
J P Morgan,104305,CitiBank London,"EUR,",Receive,74262315,2929-0202-20202020,Rejected,5721095,Transaction complete
HSBC,102489,CitiBank New York Branch,CAD,Deliver,79444186,0303-0606-19191919,Rejected,5358213,Payment Failed
BNY Mellon,101542,CitiBank New York Branch,USD,Receive,45587100,2020-0404-19191919,Processing,3999327,Payment Failed
HSBC,104361,CitiBank London,CAD,Deliver,67568846,2525-0202-20202020,Fully paid,6196867,Transaction complete
J P Morgan,108853,CitiBank London,"EUR,",Receive,90084959,1717-0505-19191919,Fully paid,7538637,Waiting for pending amount
BNY Mellon,109081,CitiBank New York Branch,USD,Receive,20231315,0404-0909-19191919,Rejected,8814098,Waiting for pending amount
DEUTSCHE BANK,106011,CitiBank New York Branch,USD,Deliver,96333058,2828-0101-20202020,Rejected,3655629,Payment is in progress
BNY Mellon,104334,CitiBank HongKong,CAD,Deliver,70798577,2020-0808-19191919,Fully paid,7572941,Transaction complete
HSBC,101413,CitiBank London,"EUR,",Receive,53769579,1111-1111-19191919,Partially Paid,1446260,Payment is in progress
DEUTSCHE BANK,100209,CitiBank London,"EUR,",Deliver,12004614,1818-0808-19191919,Rejected,6461547,Payment is in progress
DEUTSCHE BANK,102348,CitiBank Singapore,CAD,Receive,13636485,2020-0808-19191919,Fully paid,3481310,Waiting for pending amount
BNY Mellon,108212,CitiBank New York Branch,USD,Deliver,99767319,1414-0404-20202020,Rejected,4513612,Waiting for pending amount
BNY Mellon,108075,CitiBank New York Branch,"EUR,",Receive,92355216,2020-0505-19191919,Fully paid,1025812,Payment is in progress
DEUTSCHE BANK,107430,CitiBank HongKong,GBP,Deliver,17643529,1414-0303-20202020,Processing,1938869,Payment Failed
BNY Mellon,104513,CitiBank HongKong,GBP,Receive,44593406,0808-1212-19191919,Fully paid,5960650,Transaction complete
J P Morgan,107746,CitiBank Singapore,USD,Receive,39581305,0505-0707-19191919,Partially Paid,8132924,Payment is in progress
BNY Mellon,106383,CitiBank Singapore,USD,Receive,90639661,0707-0404-20202020,Fully paid,5384357,Payment Failed
J P Morgan,100321,CitiBank Singapore,GBP,Receive,79547781,2222-0606-19191919,Fully paid,7598887,Transaction complete
BNY Mellon,104980,CitiBank Singapore,USD,Receive,12927486,2929-0404-19191919,Fully paid,6262908,Payment Failed
HSBC,105765,CitiBank HongKong,"EUR,",Receive,47264544,0202-0202-20202020,Processing,1340729,Payment is in progress
DEUTSCHE BANK,106183,CitiBank HongKong,USD,Deliver,21584085,1414-0101-20202020,Partially Paid,4248362,Transaction complete
DEUTSCHE BANK,104132,CitiBank Singapore,GBP,Receive,90238605,2323-0505-19191919,Partially Paid,8653823,Transaction complete
BNY Mellon,102997,CitiBank New York Branch,GBP,Receive,69560095,1010-1212-19191919,Partially Paid,2138818,Transaction complete
HSBC,106032,CitiBank HongKong,CAD,Receive,71718166,0707-1111-19191919,Fully paid,7410402,Waiting for pending amount
BNY Mellon,101535,CitiBank New York Branch,"EUR,",Receive,84749234,0909-0909-19191919,Rejected,5971484,Payment Failed
BNY Mellon,108932,CitiBank Singapore,USD,Deliver,66215898,2323-0202-20202020,Partially Paid,2580586,Waiting for pending amount
J P Morgan,106287,CitiBank HongKong,USD,Receive,44908975,0202-1010-19191919,Processing,6350728,Payment Failed
DEUTSCHE BANK,100620,CitiBank New York Branch,GBP,Deliver,65713189,1616-0909-19191919,Partially Paid,2861852,Waiting for pending amount
BNY Mellon,104026,CitiBank Singapore,"EUR,",Deliver,21824035,0808-0404-19191919,Rejected,7171977,Transaction complete
DEUTSCHE BANK,105529,CitiBank Singapore,USD,Deliver,28367754,1111-0202-20202020,Processing,2196193,Transaction complete
DEUTSCHE BANK,103612,CitiBank Singapore,USD,Deliver,6899429,2323-0303-20202020,Processing,5499428,Payment Failed
BNY Mellon,105995,CitiBank London,CAD,Deliver,95604350,3131-0707-19191919,Rejected,6341940,Payment Failed
BNY Mellon,101543,CitiBank London,"EUR,",Deliver,46954096,1212-1111-19191919,Fully paid,9022338,Transaction complete
J P Morgan,104279,CitiBank HongKong,CAD,Deliver,51414223,1818-1010-19191919,Rejected,4860133,Payment Failed
DEUTSCHE BANK,108478,CitiBank London,CAD,Receive,80395198,2222-0505-20202020,Processing,5399066,Waiting for pending amount
DEUTSCHE BANK,105750,CitiBank HongKong,USD,Deliver,66240294,2121-0505-20202020,Rejected,3599425,Payment is in progress
DEUTSCHE BANK,103638,CitiBank Singapore,CAD,Receive,63485178,0606-0505-20202020,Fully paid,9783537,Payment Failed
DEUTSCHE BANK,107575,CitiBank New York Branch,"EUR,",Receive,47583676,0202-0606-19191919,Partially Paid,2447279,Waiting for pending amount
HSBC,105194,CitiBank New York Branch,"EUR,",Deliver,61828375,1414-0606-19191919,Processing,4973139,Payment is in progress
DEUTSCHE BANK,100811,CitiBank HongKong,CAD,Deliver,83744216,1313-0202-20202020,Processing,3814973,Transaction complete
BNY Mellon,101927,CitiBank Singapore,CAD,Deliver,74379565,1414-0505-19191919,Partially Paid,2094428,Payment is in progress
BNY Mellon,109002,CitiBank Singapore,CAD,Receive,74613593,2222-0505-19191919,Processing,6903651,Waiting for pending amount
HSBC,105218,CitiBank London,GBP,Receive,69939385,3131-1212-19191919,Fully paid,6703459,Payment Failed
J P Morgan,105117,CitiBank New York Branch,"EUR,",Receive,26764496,2121-1111-19191919,Rejected,2227855,Payment Failed
J P Morgan,101647,CitiBank New York Branch,USD,Deliver,15913185,2222-0404-20202020,Rejected,9006492,Waiting for pending amount
J P Morgan,108319,CitiBank Singapore,GBP,Deliver,21905148,0808-0202-20202020,Fully paid,108002,Payment Failed
HSBC,108666,CitiBank London,USD,Deliver,24114586,2121-1111-19191919,Partially Paid,466271,Waiting for pending amount
J P Morgan,107619,CitiBank HongKong,GBP,Receive,58695843,0404-0404-19191919,Partially Paid,9513462,Transaction complete
BNY Mellon,107668,CitiBank London,USD,Receive,65297208,2020-0303-20202020,Rejected,4780650,Payment is in progress
DEUTSCHE BANK,105610,CitiBank Singapore,GBP,Deliver,37526469,3030-0404-20202020,Processing,9794982,Waiting for pending amount
J P Morgan,109117,CitiBank Singapore,CAD,Receive,78750506,0404-0909-19191919,Fully paid,7773630,Payment Failed
